ModelName,ModelUrl,Price,CC,KMPL,bhp,KG
Royal Enfield Hunter 350,https://www.bikewale.com//royalenfield-bikes/hunter-350/,"1,49,900",349.34 cc, 35 kmpl, 20.2 bhp, 177 kg
Royal Enfield Bullet 350,https://www.bikewale.com//royalenfield-bikes/bullet/,"1,50,894",346 cc, 38 kmpl, 19.1 bhp, 191 kg
Royal Enfield Classic 350,https://www.bikewale.com//royalenfield-bikes/classic-350/,"1,93,080",349 cc, 35 kmpl, 20.2 bhp, 195 kg
Royal Enfield Continental GT 650,https://www.bikewale.com//royalenfield-bikes/continental-gt/,"3,18,417",648 cc, 25 kmpl, 47 bhp, 211 kg
Royal Enfield Meteor 350,https://www.bikewale.com//royalenfield-bikes/meteor-350/,"2,04,114",349 cc, 35 kmpl, 20.2 bhp, 191 kg
Royal Enfield Himalayan,https://www.bikewale.com//royalenfield-bikes/himalayan/,"2,15,881",411 cc, 30 kmpl, 24.3 bhp, 199 kg
Royal Enfield Interceptor 650,https://www.bikewale.com//royalenfield-bikes/interceptor/,"3,02,418",648 cc, 23 kmpl, 47 bhp, 213 kg
Royal Enfield Super Meteor 650,https://www.bikewale.com//royalenfield-bikes/super-meteor-650/,"3,54,398",648 cc, 46.3 bhp, 241 kg,NA
Royal Enfield Scram 411,https://www.bikewale.com//royalenfield-bikes/scram-411/,"2,06,234",411 cc, 30 kmpl, 24.3 bhp, 185 kg
